72000000;;;;;Kredit;285,49;;Teller 7667973;;;;;;;;;;;;;;;;
90540000;;;;;Debet;285,49;;Teller 7667973;;;;;;;;;;;;;;;;
95931205;;;;;Kredit;16722,29;;Teller 7620659;;;;;;;;;;;;;;;;
90540000;;;;;Debet;16722,29;;Teller 7620659;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;41822,49;;Teller 7555139;;;;;;;;;;;;;;;;
90540000;;;;;Debet;41822,49;;Teller 7555139;;;;;;;;;;;;;;;;
79000000;;;;;Kredit;23062,26;;Teller 7374697;;;;;;;;;;;;;;;;
90540000;;;;;Debet;23062,26;;Teller 7374697;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1500,00;;undefined - Overførsel Bidrag;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1500,00;;undefined - Overførsel Bidrag;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1745,44;;undefined - Overførsel .                       Meddelnr. 02968164723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1745,44;;undefined - Overførsel .                       Meddelnr. 02968164723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;219,96;;undefined - Overførsel .                       Meddelnr. 02968159323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;219,96;;undefined - Overførsel .                       Meddelnr. 02968159323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;6855,47;;undefined - Overførsel .                       Meddelnr. 02968155123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;6855,47;;undefined - Overførsel .                       Meddelnr. 02968155123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;10205,63;;undefined - Overførsel .                       Meddelnr. 02968149423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;10205,63;;undefined - Overførsel .                       Meddelnr. 02968149423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;33107,50;;undefined - Overførsel                         Meddelnr. 02968893423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;33107,50;;undefined - Overførsel                         Meddelnr. 02968893423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;20900,98;;undefined - Overførsel                         Meddelnr. 02968817723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;20900,98;;undefined - Overførsel                         Meddelnr. 02968817723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;3535,00;;undefined - 2209712329;;;;;;;;;;;;;;;;
90540000;;;;;Debet;3535,00;;undefined - 2209712329;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;16990,27;;undefined - 4000000000010609235;;;;;;;;;;;;;;;;
90540000;;;;;Debet;16990,27;;undefined - 4000000000010609235;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2143,65;;undefined - 3000000000010609236;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2143,65;;undefined - 3000000000010609236;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1593,05;;undefined - Udbetaling Danmark                 Meddelnr. 02969637323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1593,05;;undefined - Udbetaling Danmark                 Meddelnr. 02969637323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965170123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965170123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965158323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1842,00;;undefined - Udbetaling Danmark                 Meddelnr. 02965158323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;43811,15;;undefined - Udbetaling fra Skatt               Meddelnr. 02970340623250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;43811,15;;undefined - Udbetaling fra Skatt               Meddelnr. 02970340623250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5688,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970252423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5688,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970252423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;34156,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970101323250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;34156,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02970101323250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;48682,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02966617123250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;48682,00;;undefined - Udbetaling fra Skatt               Meddelnr. 02966617123250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;2115,00;;undefined - Silkeborg Kommune                  Meddelnr. 02965553723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;2115,00;;undefined - Silkeborg Kommune                  Meddelnr. 02965553723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5526,00;;undefined - Rejsekort:K000006312;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5526,00;;undefined - Rejsekort:K000006312;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;5526,00;;undefined - Rejsekort:K000006311;;;;;;;;;;;;;;;;
90540000;;;;;Debet;5526,00;;undefined - Rejsekort:K000006311;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1995,50;;undefined - Rejsekort:K000006308;;;;;;;;;;;;;;;;
90540000;;;;;Debet;1995,50;;undefined - Rejsekort:K000006308;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;34748,00;;undefined - Mariagerfjord Kommun               Meddelnr. 02971223723250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;34748,00;;undefined - Mariagerfjord Kommun               Meddelnr. 02971223723250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;4879,00;;undefined - Dagpengerefusion                   Meddelnr. 02965568423250;;;;;;;;;;;;;;;;
90540000;;;;;Debet;4879,00;;undefined - Dagpengerefusion                   Meddelnr. 02965568423250;;;;;;;;;;;;;;;;
95990009;;;;;Kredit;1593,00;;undefined - Dagpenge lønrefusion               Meddelnr. 02968531723250;;;;;;;;;;;;;;;;
