Reference;Advisliste;Afsender;Posteringstype;match_regel;Beløb1;Beløb2;beløb_regel;Posteringstekst;Artskonto;PSP-element;SIO;Notat
Cafe-VP;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Vorup Plejehjem;72000000;XG-0000004526-00041;null;null
Cafe VP;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Café Vorup Plejehjem;72000000;XG-0000004526-00041;null;null
Dronningborg;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Dronningborg;72000000;XG-0000004518-00094;null;null
Fårup;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Fårup Café;72000000;XG-0000004526-00047;null;null
Gaia Butik;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Gaia Butik;72000000;XG-0000003040-00018;null;null
Gaia Cafe;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Gaia Papaya;72000000;XG-0000003040-00046;null;null
Gaia papaya;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Gaia Papaya;72000000;XG-0000003040-00046;null;null
Kollektivhus;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Kollektivhuset;72000000;XG-0000004526-00044;null;null
2465-00021;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Korshøjskolen Café;72000000;XG-0000002465-00021;null;null
Korshøjskole;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Korshøjskolen Café;72000000;XG-0000002465-00021;null;null
Madservice;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Madservice Kronjylland;72000000;XG-0000004526-00018;null;null
Møllevang;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Møllevang;72000000;XG-0000004518-00098;null;null
301.408.72.05;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Nørrevangsskolen;72000000;XG-0000002511-00021;null;null
Perron 4;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Perron 4;72000000;XG-0000003038-00053;null;null
Rosenvæng;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Rosenvænget;72000000;XG-0000004518-00092;null;null
Terneparken;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Terneparken Café;72000000;XG-0000004526-00048;null;null
7221290;null;null;null;Indeholder;null;null;null;Nets 7221290 Gaia Cafe ;72000000;XG-0000003040-00046;null;null
8516775;null;null;null;Indeholder;null;null;null;Nets 8516775 Gaia Butik;72000000;XG-0000003040-00018;null;null
8104226;null;null;null;Indeholder;null;null;null;Teller 8104226;72000000;XG-0000005010-00080;null;null
LV;null;null;Indbetaling;Slutter med;null;null;null;Kontant transaktion Café Lindevænget;72000000;XG-0000004526-00036;null;null
NM;null;null;null;Slutter med;null;null;null;Kontant transaktion Café Nellemann;72000000;XG-0000004526-00037;null;null
null;null;Too good to go;null;Starter med;null;null;null;Tekst fra bank;72000000;XG-0000005228-00003;null;null
null;null;Kanpla APS;null;Starter med;null;null;null;Tekst fra bank;72000000;XG-0000002511-00021;null;null
null;null;Biometric Solutions;null;Starter med;null;null;null;Tekst fra bank;72000000;XG-0000003057-00003;null;null
Borup;null;null;Indbetaling;Starter med;null;null;null;Kontant transaktion Café Borupvænget;72000000;XG-0000004526-00046;null;null
Cafe Borup;null;null;Indbetaling;Starter med;null;null;null;Kontant transaktion Café Borupvænget;72000000;XG-0000004526-00046;null;null
TB;null;null;Indbetaling;Starter med;null;null;null;Kontant transaktion Café Thors Bakke;72000000;XG-0000004526-00039;null;null
TD cafe;null;null;Indbetaling;Starter med;null;null;null;Kontant transaktion Café Tirsdalen;72000000;XG-0000004526-00040;null;null
Tirsdalen;null;null;Indbetaling;Starter med;null;null;null;Kontant transaktion Café Tirsdalen;72000000;XG-0000004526-00040;null;null
XG-3397-50;null;null;Indbetaling;Starter med;null;null;null;Kontant transaktion Sprogcenter;72000000;XG-0000003397-00050;null;null
null;null;null;OTC-betaling;Indeholder;null;null;null;Tekst fra bank;67041004;null;null;null
null;null;null;Rente af obligationer;Starter med;null;null;null;Tekst fra bank;60800001;null;null;null
null;null;null;Afkast overført til;Starter med;null;null;null;Tekst fra bank;60500000;null;null;null
null;null;null;Debetrente;Starter med;null;null;null;Tekst fra bank;60500000;null;null;null
null;null;null;Kreditrente;Starter med;null;null;null;Tekst fra bank;60500000;null;null;null
40010;null;null;Leverandørservice;Indeholder;null;null;null;Ls, kreditor 40010 Udbetaling;40000000;XG-0000000013-00001;null;null
54879;null;null;Leverandørservice;Indeholder;null;null;null;Ls, kreditor 54879 Udbetaling;40000000;XG-0000000013-00002;null;null
006970;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Matrielgården 006970;40000000;XG-0000005004-00023;null;null
1007867103;null;null;Gebyr;Indeholder;null;null;null;Gebyr af depot 1007867103;40000000;XG-0000000006-00007;null;null
2121115030;null;null;Gebyr;Indeholder;null;null;null;Gebyr af depot 2121115030;40000000;XG-0000000006-00007;null;null
FAKTURA D0100;null;null;null;Starter med;null;null;null;Tekst fra bank;40000000;XG-0000000006-00007;null;null
URA;null;null;Pbs overførsel;Starter med;null;null;null;Tekst fra bank;40000000;XG-0000000006-00007;null;null
49344 MOBILE;null;null;null;Starter med;null;null;null;Gebyr Mobile Pay leverandørservice;40000000;XG-0000000006-00007;null;null
Mariendal;null;420 Kristrup Børnehus;null;Indeholder;null;null;null;Tekst fra bank;10000000;XG-0000002281-00002;null;null

